wallet_address,chain,pnl_30d,realized_pnl_30d,unrealized_pnl_30d,win_rate,trade_count_30d,avg_trade_size_usd,tags,source
FXGq261SN4AQx1CcboV41Etdjn3ZcQNrLfKz6XCKArdy,solana,55107.52,75790.84,-20683.32,0,227,878.34,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
5xTa1Jk8D8qMKQdFz4Zf6bq2v3k3J3FErp3i8QDwUF6b,solana,80038.07,75207.68,4830.39,0.5341,1145,149.28,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
FVhpzr7ow2Y36pAdJy57xbrYwRdRenRPJpTYWPy6aLKb,solana,74931.53,74931.53,0,0.5,188,8768.23,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
FZATncLjnU4amURwFGnUZKRF2UyyyU3kpTUyqUX1Km1u,solana,74476.99,74481.55,-4.56,0,125,644.74,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
4qmFqp1YvSGmMmcnH3LWiuWRGf2zRUmePtnJRjGP6nE6,solana,71977.38,73977.11,-1999.74,0,1642,175.9,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
G2vhbPCG5jAbBjFCJnLBbGJco93r3iw1WuvmL8csvJMD,solana,95819.17,73974.36,21844.81,0.6667,211,5143.79,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
CkSZzm2GoF4y11aQcRdnBwzHnpcb9nZNqXawT3kVjWC4,solana,12526.5,73974.29,-61447.79,0,157,4236.66,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
Dzp1SrZ474xwGp6ZEP6cNKo39u9zeXe1YAuTkyZyv3t4,solana,69271.06,73931.02,-4659.95,0.9785,299,448.8,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
FE2mgimB4e3bcV1krNXAJztFdT8QHKEhE8VY2GwAKATw,solana,73602.44,73634.51,-32.08,0.3846,463,14019.61,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
6mRj2oRpRCc18iRwyoyarPPTkQ8bunXtgo27xxQjZXYT,solana,45872.35,73482.82,-27610.47,0.0769,309,536.21,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
